year,month,ice_extent_mean,ice_extent_min,ice_extent_max,ice_anomaly
2010,8,18.607064516129032,17.823,18.943,0.639119544592031
2010,9,18.7986,18.441,18.998,0.06227450980392035
2010,10,18.64832258064516,18.052,18.963,0.3108500948766597
2010,11,16.7549,15.164,17.906,0.76771568627451
2010,12,11.271161290322581,7.072,14.879,0.6135407969639459
2011,1,4.511709677419355,3.019,6.843,-0.8017381404174566
2011,2,2.519071428571429,2.319,2.946,-0.7600917125470876
2011,3,3.3678387096774194,2.517,4.279,-0.9327324478178372
2011,4,6.0966,4.372,7.852,-1.0901980392156867
2011,5,10.09274193548387,8.005,12.053,-0.42387286527514334
2011,6,13.333300000000001,12.197,14.428,-0.3839411764705858
2011,7,15.752548387096775,14.496,17.136,-0.5043889943073996
2011,8,17.805451612903227,17.166,18.326,-0.16249335863377468
2011,9,18.739233333333335,18.436,18.954,0.002907843137254673
2011,10,18.21848387096774,17.466,18.92,-0.1189886148007595
2011,11,15.757366666666666,13.947,17.386,-0.22981764705882313
2011,12,11.198967741935483,7.72,13.852,0.541347248576848
2012,1,5.653870967741936,4.254,7.572,0.34042314990512423
2012,2,3.553241379310345,3.111,4.227,0.2740782381918283
2012,3,4.550258064516129,3.286,5.805,0.24968690702087226
2012,4,7.309233333333333,5.912,8.876,0.12243529411764698
2012,5,10.456999999999999,8.951,11.916,-0.059614800759014486
2012,6,13.546666666666665,11.984,15.013,-0.17057450980392197
2012,7,16.298,15.05,17.288,0.04106261859582361
2012,8,18.096967741935483,17.432,18.629,0.12902277039848187
2012,9,19.207833333333333,18.632,19.478,0.47150784313725325
2012,10,18.593870967741935,17.698,19.235,0.2563984819734344
2012,11,16.109933333333334,13.781,17.685,0.1227490196078449
2012,12,10.394225806451614,7.246,13.559,-0.26339468690702184
2013,1,5.543290322580646,4.267,7.121,0.22984250474383394
2013,2,3.8364285714285713,3.679,4.202,0.5572654303100548
2013,3,5.017387096774193,3.87,6.068,0.7168159392789368
2013,4,7.622633333333334,6.2,9.134,0.43583529411764754
2013,5,10.919741935483872,9.186,12.414,0.4031271347248584
2013,6,14.154833333333332,12.538,15.5,0.43759215686274544
